SURVEYID,MOSTIMPBOAT,MOSTIMPFISH,MOSTIMPSWIM,MOSTIMPFAM,MOSTIMPBIRD,MOSTIMPBEAUTY,GRADERES,GRADECOM,GRADEFARMOP,GRADECONGROUP,GRADELOCALGOV,GRADEREGULATORS,QOLWQ,SLOWECON,CHNGEPRAC,IMPSED,IMPFERT,IMPECOLI,IMPTRASH,IMPSALT,IMPHITEMP,CONEXCESS,CONCONTH2O,CONLOSS,CONODOR,CONDEPGW,CONBEAUTY,CONRECOPP,SEPTICYEAR,SEPTICDK,SEPTICPUMP,SEPTICINSPECT,SCHECKROOTS,SCHECKWET,SCHECKCLOGS,SCHECKCOVER,STIME,SCOST,SIMPORTANT,SLACKINFO,NSOILTESTFAM,NMANUFERTFAM,ENOTILLFAM,ECOVERFAM,EWATERWAYFAM,NVRTFAM,GENDER,YRBORN,BLACK,AMERIND,ASIAN,LATINO,MULTIRAC,WHITE,PREFERNOTTO,EDUCATION,TIMERES,SIZE,ANIMALS,CROPS,TYPE,FAMCURREN,RESIDENTIAL,SMALLFARM,LARGEFARM
0102,0,0,0,0,0,1, , , , , , ,4,5,3,3,3,2,1,9,9,2,2,2,2,2,2,2, , ,2,0,2,3,2,2,2,2,1,1, , , , , , ,0,1960,0,0,0,0,0,1, ,4,25,80,0,0, , , , , 
0103,0,0,0,0,0,1,3,2,3,4,3,3,4,5,3,9,9,9,9,9,9,9,9,9,9,9,9,9, , ,3,0,1,1,1,4,3,3,4,3, , , , , , ,0,1952, , , , , , ,9,5,45,60,1,0,2,45,0,1,0
0104,0,0,0,0,1,0,4,3,2,5,3,4,4,4,4,2,4,3,3,3,4,4,2,3,2,3,2,2, ,9,3,1,3,4,2,4,1,2,1,1, , , , , , ,1,1963,0,0,0,0,0,1, ,3,30,4,0,0,1, ,1,0,0
0105,0,0,0,0,1,0,3,2,2,5,3,3,5,4,5,9,4,9,3,3,9,3,9,9,1,9,9,9, , ,3,2,4,4,4,4,1,1,1,1, , , , , , ,0,1953,0,0,0,0,0,1, ,5,18,2.5,0,0,1, ,1,0,0
0106,1,1,1,1,0,0,4,3,2,4,3,2,4,5,5,9,3,3,3,2,9, , ,4,2, ,3,3, , ,3, ,4,4,2,4,2,2,2,1, , , , , , , ,1963,0,0,0,0,0,1, ,2,22,40,0,0,1, ,1,0,0
0107,0,0,0,0,0,0, , ,3, , , ,3,5,4,3,9,9,2,9,9,9,9,9,9,9,2,2, , ,2,0,1,1,1,1,1,1,2,2, , , , , , ,0,1954, , , , , , ,9,5,40,14,0,0,1, ,1,0,0
0108, , , , ,1,1,5, , , , , ,5,5,5,3,4,3,4,9,4,3,1,9,9,9,9,9, , ,3,0,3,3,3,4,1,1,1,1, , , , , , ,1,1952,0,0,0,0,0,1, ,2,30,2.6,0,0,1, ,1,0,0
0109,1,1,1,1,1,1, , , , , , ,5,5,5,3,4,9,3,9,9,2,2,4,1,2,3,1, ,9,0,0,1,2,1,2,3,3,3,3, , , , , , ,1,1955,0,0,0,0,0,1, ,2,15,3,0,0,1, ,1,0,0
0110,1,1,0,0,1,1,2,3,3,3, , ,3,3,3,2,2,2,2,2,2,2,2,3,2,3,3,3, , ,2,0, , , , , , , , , , , , , , ,0,1958,0,0,0,0,0,1, ,2,64,100,0,1,3, ,0,0,1
0111,0,0,0,0,0,0,4,4,4,4,4,4,5,4,5,2,2,2,4,3,3,4,4,3,3,4,2,2,1972, ,3,0,4,4,1,2, , ,4, , , , , , , ,1,1949,0,0,0,0,0,1, ,6,50,268,0,0,3,50,0,0,1
0112,0,0,0,1,0,0,2, , , , , ,5,5,4,9,4,4,1,9,9,1,9,2,1,9,2,9, ,99, , , , , , , , , , , , , , , , ,0,1952,0,0,0,0,0,1, ,3,39,1,0,0,1, ,1,0,0
0113,0,0,0,0,1,0,4,3,2,4,3,3,5,4,5,3,4,3,3,3,3,3,4,3,3,4,4,3, , ,3,3,2,2,1,4,3,3,2,4, , , , , , ,1,1974,0,0,0,0,0,1, ,6,6,4,1,0,2,0,0,1,0
0114,0,0,0,0,0,0,5,3,3,5,4,4,5,4,3,3,2,3,2,9,9,9,9,9,9,9,1,2, , ,3,3,2,2,2,1,1,1,1,1, , , , , , ,0,1947,0,0,0,0,0,1, ,4,20,5,0,0,1,0,1,0,0
0115,0,0,0,0,1,0,5,5,5,5,5,5,4,4,3,9,2,9,9,9,9,9,9,9,9,2,9,9, ,9,3,3,4,4,4,4,1,1,1,1, , , , , , ,0,1954,0,0,0,0,0,1, ,2,42,3,0,0,1,0,1,0,0
0116,0,0,1,1,1,1,4,3,4,4,3,3,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9, , ,1,0,1,1,1,1,1,1,1,1, , , , , , ,0,1964,0,0,0,0,0,1, ,2,30,20,0,0,1,0,1,0,0
0117,0,1,0,1,1,1,1,1,1,3,1,4,5,5,4,3,3,9,9,4,9,4,4,3,3,4,4,2, , ,3,3,4,4,1,4,3,3,3,3,3,1,3,3,3,1,1, ,0,0,0,0,0,1, ,6,6,150,0,1,3, ,0,0,1
0118,0,0,0,0,0,0, , , , , , ,4,4,3,9,9,2,9,9,9,9,9,9,9,9,9,9, ,99, , , , , , , , , , , , , , , , ,1,1941,0,0,0,0,0,1, ,2, ,66,1,0,2, ,0,1,0
0119,0,0,0,0,0,0, , , , , , ,3,5,3,9,2,9,2,9,9,9,9,9,1,9,1,1, ,9,1,0,1,2,2,2,2,1, ,2,4, , , , , ,0,1944,0,0,0,0,0,1, ,2,58,500,0,0,3,66,0,0,1
0120,0,1,0,0,0,0,5,5,3,3,1,1,5,4,5,2,4,9,3,9,2,9,4,4,2,3,2,3, , ,2,0,1,4,1,4,1,1,2,1,3,2,3,3,3,9,0,1959,0,1,0,0,0,1, ,2,28,17,1,1,2,28,0,1,0
0121,0,0,0,0,0,1,5,3,5,3,3,2,4,4,5,1,2,2,4,4,1,9,2,1,2,1,2,1, , ,3,2,4,4,4,4,1,1,1,1,4,4,4,4,4,4,0,1949,0,0,0,0,0,1, ,6,73,125,0,1,3,73,0,0,1
0122,0,1,0,0,0,0,4,2, ,4,3,3,4,5,3,3,3,9,2,9,2,2,9,9,1,3,2,1, ,9,0,1,3,4,1,1,1,1,2,1, , , , , , ,0,1959,0,0,0,0,0,1, ,3,40,98,0,0,3,55,0,0,1
0123,0,1,0,0,0,0,4,3,2,4,3,1,5,4,3,3,3,9,3,9,1,9,9,2,1,3,1,1, , ,3,3,4,4,4,4,1,1,1,1, , , , , , ,0,1976,0,0,0,0,0,1, ,5,2,20,0,0,1, ,1,0,0
0124,0,0,1,0,0,0,3,3,2,4,2,2,5,5,3,1,4,4,4,2,2,3,4,4,4,4,3,3, , ,3,2,4,4,4,4,1,1,1,1, , , , , , ,1, ,0,0,0,0,0,1, ,3,25,40,0,0,1, ,1,0,0
0125,1,1,0,0,1,1,5,4,4,5,4,4,5,4,5,2,2,1,1,9,1,1,1,2,1,1,1,1, , ,3,3,4,4,4,4,1,1,1,1, , , , , , ,0,1959,0,0,0,0,0,1, ,3,36,65,0,0,2,36,0,1,0
0126,0,0,1,0,0,0,4,3,3,5,3,3,4,4,4,2,3,2,3,1,1,3,3,2,3,2,3,2, , ,0,0,2,2,2,2,4,4,1,2,3,1,1,1,1,1,1,1977,0,0,0,0,0,1, ,5,17,3,0,1,2,10,0,1,0
0127,0,0,0,0,0,0,4,3,2,4,3,2,5,5,5,1,4,4,3,9,4,4,4,4,9,4,3,3, ,9,2,2,1,1,1,1,2,2,4,4, , , , , , ,1,1983,0,0,0,0,0,1, ,6,11,1.5,1,0,2, ,0,1,0
0128,1,1,1,1,1,1,5,2,1,5,4,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3, , ,3,3,2,4,4,4,3,3,1,3, , , , , , ,1,1965,0,0,0,0,0,1, ,2,28,2,0,0,1,0,1,0,0
0129,0,1,0,0,0,0,2,4,4,4,4,4,5,5,4,3,1,9,3,9,9,2,3,2,2,9,2,2, , ,3,3,4,4,4,4,1,1,1,1, , , , , , ,1,1976,0,0,0,0,0,1, ,3,20,45,0,0,1, ,1,0,0
0130,0,0,1,0,0,0,3,2,3,4,4,4,4,4,5,3,3,3,3,2,2,1,2,2,2,1,2,1, ,9,3,1,4,4,1,4,3,3,1,1,4,4,3,3,3,4,0,1950,0,0,0,0,0,1, ,4,50,400,1,1,3,60,0,0,1
0131,0,0,0,0,0,1,3,3,4,4,3,3,5,4,4,3,2,2,3,3,2,3,3,3,2,3,3,2, , ,2,2,4,4,4,4,2,2,1,1, , , , , , ,1,1983,0,0,0,0,0,1, ,3,15,10,1,0,2,15,0,1,0
0132,0,1,0,0,0,0,5,2,4,3,1,2,5,3,5,1,1,1,2,9,1,2,1,1,2,9,1,1, , ,3,3,4,4,4,4,1,1,1,1,4,4,9,4,4,4,0,1950,0,0,0,0,0,1, ,4,38,23,0,1,2,30,0,1,0
0133,1,1,1,0,0,0,2,3,4,2,4,4,4,4,4,3,4,3,3,9,1,4,3,3,3,4,3,3, , ,0,0,2,2,2,2,4,4,1,1, , , , , , ,1,1956,0,0,0,0,0,1, ,3,44,3.5,0,0,1, ,1,0,0
0134,0,1,0,0,0,1,4,4,1,4,2,2,5,4,4,4,4,4,3,3,3,4,4,4,4,3,4,4, , ,3,3,1,4,1,4,1,1,1,3, , , , , , ,0,1952,0,0,0,0,0,1, ,4,25,40,0,0,1, ,1,0,0
0135,0,1,0,0,1,1,5,4,4,5,5,3,5,5,5,1,3,9,1,9,9,9,2,9,9,9,3,3, ,9,3,0,2,2,2,1,3,3,4,4, , , , , , ,9,1965,0,0,0,0,0,1, ,3,30,5,1,0,2, ,0,1,0
0136,0,0,0,0,1,0,3, , , , , ,5,4,5,9,9,9,9,9,9,4,4,4,4,4,4,4,2007, ,3,3,4,4,3,4,1,1,1,1, , , , , , ,1,1956,0,0,0,0,0,1, ,3,25,7.25,1,0,2, ,0,1,0
0137,0,1,0,0,0,0,3,3,3,4,3,4,5,5,4,3,3,9,4,9,3,3,3,4,2,4,3,3,2006, ,3,0,2,2,1,1,1,1,4,4,4,4,4,4,2,4,0,1951,0,0,0,0,0,1, ,5,16,173,0,1,3,12,0,0,1
0138,0,0,0,0,0,0,3, , , , , ,4,4,4,1,2,9,1,9,1,9,1,9,3,3,1,9, ,9,3,3,2,2,1,4,2,2,2,1, , , , , , ,0,1961,0,0,0,0,0,1, ,3,27,4,0,0,1,0,1,0,0
0139,0,0,0,0,0,1,3,3,4,4,3,3,4,5,3,2,2,9,9,9,9,9,9,2,1,9,1,2, , ,3,3,4,4,4,4,1,1,1,1, , , , , , ,0, ,0,0,0,0,0,1, ,5,18,48,0,0,1, ,1,0,0
0140,1,1,1,1,1,1,4,2,2,4,2,2,5,3,4,3,4,3,3,3,1,9,4,4,4,4,4,4, , ,2,2,4,4,4,4,1,1,1,1, , , , , , ,0,1960,0,0,0,0,0,1, ,2,35,4.5,0,0,1,0,1,0,0
0141,0,1,1,0,0,0,3,2,1,3,2,3,5,5,4,9,3,9,3,3,9,3,3,4,9,3,4,3, , ,3,3,2,2,2,4,1,1,1,1, , , , , , ,0,1977,0,0,0,0,0,1, ,3,7,5,1,0,2,7,0,1,0
0142,0,1,0,0,0,0,2,1,1,3,2,1,4,4,3,3,9,9,3,9,1,3,3,3,2,2,1,1, ,9,3,3,2,3,1,1,1,2,3,4, , , , , , ,1,1990,0,0,0,0,0,1, ,5,3,1,0,0,1, ,1,0,0
0143,0,1,0,0,0,0,2,2,3,4,1,1,5,4,4,9,3,9,9,9,9,9,2,9,3,9,9,9, , ,3,0,1,1,1,1,2,3,4,4, , , , , , ,1,1952,0,0,0,0,0,1, ,3,14,7,0,0,1, ,1,0,0
0144,1,1,1,1,1,1,5,5,5,5,3,3,5,5,5,2,2,2,2,2,2,3,3,4,4,4,4,4,1979, ,3,0,2,2,2,2,3,3,3,3,2,2,2,2,2,2,0,1976,0,0,0,0,0,1, ,4,2,35,0,1,2,2,0,1,0
0145,1,1,1,1,1,1,4,2,1,4,2,2,5,4,4,3,3,3,4,4,3,2,2,4,3,3,4,4, ,9,3,2,1,1,1,1, , ,1,1, , , , , , ,0,1954,0,0,0,0,0,1, ,6,42,20,0,0,1,40,1,0,0
0146,0,0,1,0,0,0, , , , , , ,5,4,5,2,9,9,1,9,9,4,4,4,4,4,4,4, , ,0,0,3,4,1,4,1,1,4,4,3,4,4,3,4,3,1,1966,0,0,0,0,0,1, ,5,28,85,1,1,3,28,0,0,1
0147,0,0,0,0,0,1,3,3,3,3,3,3,5,5,4,3,3,9,2,9,9,2,1,1,1,1,1,1, ,9,1,0,1,3,2,4,1,2,2,4,4,4,9,3,4,3,0,1938,0,0,0,0,0,1, ,2,52,160,1,1,3,70,0,0,1
0148,0,0,0,0,0,1,3,3,3,4,3,3,5,4,5,4,4,9,3,9,9,3,9,9,2,3,3,3, , ,3,3,2,2,1,1,1,1,3,4, , , , , , ,1,1952,0,0,0,0,0,1, ,6,18,8,0,0,1, ,1,0,0
0149,1,1,1,1,1,1,4,4,4,4,4,4,5,5,4,9,9,9,9,9,9,9,9,9,9,9,9,9,1994, ,1,1,3,3,3,3,3,3,3,3, , , , , , ,1,1955,0,0,0,0,0,1, ,1,44,1,0,0,1, ,1,0,0
0150,0,0,0,0,0,1,2,2,2,4,3,3,5,5,4,2,3,9,3,9,9,3,2,9,2,9,2,2, , ,3,3,4,4,4,4,1,1,1,1, , , , , , ,1,1971,0,0,0,0,0,1, ,6,10,3,0,0,1, ,1,0,0
0151,0,1,0,0,0,0,4,1,1,5,3,3,4,5,4,1,2,2,2,2,2,4,4,4,3,3,4,4, , ,3,0,2,2,2,2,1,1,1,1, , , , , , ,0, ,0,0,0,0,0,1, ,5,4,24,0,0,1, ,1,0,0
0152,0,1,0,0,0,0,2,3,2,4,4,4,5,4,5,3,3,3,3,3,3,3,2,3,2,2,2,3, , ,3,0,1,1,1,2,2,3,3,3,4,1,3,3,4,2,0,1959,0,0,0,0,0,1, ,3,26,30,1,1,2,21,0,1,0
0153,0,0,0,0,0,1,3,1,1,2,2,2,3,4,5,9,9,9,9,9,9,3,9,9,2,9,3,3, ,9,3,0,1,1,1,4,1,1,3,1, , , , , , ,1,1959,0,0,0,0,0,1, ,2,39.5,1,0,0,1, ,1,0,0
0154,0,0,0,0,0,1,4,3,3,5,4,4,4,4,4,1,3,9,2,9,3,3,9,9,2,3,2,2, ,9,3,0,2,4,2,4,3,4,3,3, , , , , , ,1,1959,0,0,0,0,0,1, ,6,18,15,0,0,1, ,1,0,0
0155,1,0,0,0,0,0,5,5,5,5,5,5,5,4,3,1,9,9,1,9,1,3,2,3,3,2,3,3, ,9,3,3,4,4,1,4,1,1,1,2, , , , , , ,1,1958,0,0,0,0,0,1, ,4,29,6,0,0,1,0,1,0,0
0156,0,0,0,0,0,0,1,3,2,4,1,2,4,5,4,3,4,3,2,3,9,2,2,2,3,2,2,9, , ,3,0,2,2,2,4,1,1,1,1, , , , , , ,0,1954,0,0,0,0,0,1, ,2,50,10,0,0,1,0,1,0,0
0157,1,1,0,0,1,1,5,1,2,5,2,2,5,5,5,3,3,2,4,9,1,9,9,3,3,9,4,3, , ,2,0,1,1,1,1,1,2,4,4, , , , , , ,1,1978,0,0,0,0,0,1, ,4,10,3,0,0,1, ,1,0,0
0158,0,1,0,1,1,1,4,3,2,4,3,3,4,5,3,2,3,3,1,9,1,2,2,3,2,9,2,2, , ,3,3,2,2,1,2,2,3,3,3, , , , , , ,0,1974,0,0,0,0,0,1, ,3,30,100,0,0, , , , , 
0159,1,1,1,1,1,1,2,1,2,4,1,1,5,4,3,4,4,4,4,9,9,4,4,4,4,4,4,4, , ,3,0,1,2,1,2,2,3,2,2,9,9,9,9,9,9,0,1949,0,0,0,0,0,1, ,5,43,60,0,1,2, ,0,1,0
0160,0,0,1,1,0,1,3,3,3,4,1,1,4,4,4,2,3,3,3,2,2,3,3,3,3,3,3,3, , ,3,3,4,4,4,4,1,2,1,1, , , , , , ,1,1961,0,0,0,0,0,1, ,4,25,1,0,0,1, ,1,0,0
0161,0,0,0,0,0,0,3,3,3,3,3,3,4,4,3,9,9,9,9,9,9,9,9,9,9,9,9,9, , ,1,0,1,1,1,1,1,1,1,1, , , , , , ,1,1938,0,0,0,0,0,1, ,5,51,40,0,0,1,0,1,0,0
0162, , , ,1,1,1, , , , , , ,4,4,4,9,9,9,3,9,9,3,3,3,3,9,3,2,1972, ,3,0,1,1,1,1,1,1,2,2, , , , , , ,1,1962,0,0,0,0,0,1, ,5,6,6,1,0,2,0,0,1,0
0163,0,0,0,0,0,0, , , , , , ,4, ,3,2,2,3,3,2,1,1,1,1,1,1,1,1, , ,3,3,2,2,2,2,3,3,3,3, , , , , , ,1,1944,0,0,0,0,0,1, ,3,15,58,0,0, ,0, , , 
0164,0,1,0,0,0,0,4,4,4,4,4,4,3,4,3,1,2,1,1,1,1,1,1,2,1,2,1,1, ,9,3,2,4,4,4,4,1,1,1,1, , , , , , ,0,1965,0,0,0,0,0,1, ,2,25,2.16,0,0,1, ,1,0,0
0165,0,0,0,0,0,1,2,2,2,4,2,2,5,5,5,9,9,9,9,9,9,4,4,4,4,4,4,4, ,9,1,0,2,2,1,1,3,4,4,4, , , , , , ,1,1955,0,0,0,0,0,1, ,5,43,19.5,0,0,1, ,1,0,0
0166,0,0,0,0,0,1,2,2,5,5,3,3,5,3,3,3,1,1,2,1,1,3,9,9,9,2,2,1,2002, ,3,3,2,4,2,4,2,3,1,1, , , , , , ,9, , , , , , , ,9, ,17,3,0,0,1, ,1,0,0
0167,1,0,0,0,0,0,1,3,3,3,2,3,5,4,5,9,9,9,3,9,9,3,9,9,3,2,3,3, , ,2,0,1,1,1,1,4,4,4,4, , , , , , ,1,1990,0,0,0,0,0,1, ,5,5,0.5,0,0,1, ,1,0,0
0168,0,1,0,1,1,1,5,4,1,5,5,1,4,5,4,3,3,1,4,1,1,1,1,4,4,1,4,4, ,99, , , , , , , , , , , , , , , , ,0,1964,0,0,0,0,0,1, ,2,25,30,0,0,1,0,1,0,0
0169,0,0,0,1,0,0,3,4,4,4,2,2,5,5,4,3,3,3,3,2,2,4,4,4,2,2,3,3, , ,2,0,2,4,4,4,2,2,2,2, , , , , , ,1,1982,0,0,0,0,0,1, ,6,8,10,1,0,2, ,0,1,0
0170,0,0,0,0,0,1,3,3,2,4,3,2,4,4,4,9,2,9,9,9,1,3,1,1,2,2,2,2, , ,2,0,1,2,1,1,2,2,4,4, , , , , , ,0,1953,0,0,0,0,0,1, ,3,30,62,0,0, , , , , 
0171,0,0,0,0,0,1,3,2,3,5,4,4,5,3,4,3,3,2,2,9,2,3,3,3,2,3,3,3,1965, ,3,0,1,4,1,4,1,1,4,3, , , , , , ,0,1954,0,0,0,0,0,1, ,4,32,17,1,0,2,0,0,1,0
0172,0,1,0,0,1,1,2,2,2,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,1, , ,3,3,4,4,4,4,1,1,1,1, , , , , , ,0, ,0,0,0,0,0,1, ,2,30,12,1,0,2, ,0,1,0
0173,1,0,0,0,0,0,4,3,2,4,4,3,4,5,4,2,3,2,2,9,9,9,9,9,9,3,2,2, , ,2,0,3,4,1,1,1,1,1,1,4,2,4,4,4,1,1,1951,0,0,0,0,0,1, ,6,49,100,0,1,3,49,0,0,1
0174,0,0,0,0,0,0,3,3,4,5,4,3,5,4,4,3,3,3,2,1,9,3,1,1,1,2,2,2, , ,3,0,1,4,1,3,3,2,3,3,3,2,3,3,4,2,0,1950,0,0,0,0,0,1, ,5,34,5,0,1,2, ,0,1,0
0175,0,0,0,0,0,1,3,1,4,5,5,5,4,3,4,1,2,3,4,9,1,3,4,4,3,3,4,4, ,9,3,2,2,4,2,3,3,3,3,3, , , , , , ,9,1996,0,0,0,0,0,1, ,3,3,3,1,0,2, ,0,1,0
0176,0,1,0,0,1,1, , , , , , ,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1973, , , ,4,4,4,4,1,1,1,1, , , , , , ,0,1948,0,0,0,0,0,0,9,4,45,26,0,0,1,0,1,0,0
0177,9,0,9,0,1,1,5, ,1, ,2,1,5,4,5,3,4,3,3,9,1,4,3,3,2,4,4,1, , ,3,3,4,4,1,4,1,1,1,1, , , , , , ,0,1954,0,0,0,0,0,1, ,3,40,3,0,0,1,0,1,0,0
0178,1,0,0,0,0,0,5,5,5,3,3,2,4,4,3,9,9,9,9,9,9,9,9,9,9,9,9,9, , ,3,3,2,2,2,2,2,4, , , , , , , , ,0,1954,0,0,0,0,0,1, ,3,21,8,1,0,2,0,0,1,0
0179,9,9,9,9,0,0, , , , , , ,4,4, , , , , , , , , , , , , , , , ,2,0,1,1,1,1, , , , , , , , , , ,1,1945,0,0,0,0,0,1, ,2,30,5,0,0,2,0,0,1,0
0180,0,1,0,0,0,0,3,3,3,4,3,3,4,5,4,4,3,2,2,2,2,1,9,3,1,2,2,2, , ,2,1,2,2,1,4,1,1,1,2, , , , , , ,0,1970,0,0,0,0,0,1, ,6,25,15,1,0,2,0,0,1,0
0181,0,1,0,0,0,0,4,4,4,5,3,3,4,5,4,9,9,9,9,9,9,2,3,9,9,9,2,2, , ,3,3,4,4,4,4,2,2,1,1, , , , , , ,0,1953,0,0,0,0,0,1, ,3,45,10.1,0,0,1, ,1,0,0
0182,0,0,0,0,0,1, , , , , , ,4,3,4,1,9,9,1,9,9,2,2,2,1,3,3,3, ,9,3,0,1,1,1,1,1,1,4,4, , , , , , ,1,1991,0,0,0,0,0,1, ,4,2,2,0,0,1,0,1,0,0
0183,0,0,0,1,0,0,4,3,4,4,3,3,4,3,3,2,3,9,3,9,1,3,4,2,3,3,2,2, , ,3,3,4,4,2,4,3,4,1,2, , , , , , ,1,1976,0,0,0,0,0,1, ,6,14,2,1,0,2, ,0,1,0
0184, , , , , , , , , , , , ,5,5,4,4,4,9,1,9,3,2,3,4,2,3,3,3, , ,3,2,4,4,4,4,1,1,1,1, , , , , , ,0,1964,0,0,0,0,0,1, ,4,58,76,0,0,2,20,0,1,0
0185,0,0,0,1,1,1,4,3,4,5,2,2,5,4,4,3,2,2,2,2,2,2,2,2,3,2,2,3, ,9,3,1,3,4,2,2,2,2,3,1, , , , , , ,1,1957,0,0,0,0,0,1, ,3,22.5,7,1,0,2, ,0,1,0
0186,0,1,0,0,1,1,5,1,1,5,5,5,5,5,4,2,3,9,2,1,3,1,1,4,3,1,2,2, , ,3,0,4,4,1,4,1,1,1,1, , , , , , ,0,1939,0,0,0,0,0,1, ,3,70,80,0,0, , , , , 
0187,1,1,0,0,0,0,5,4,4,5,4,4,4,5,4,2,3,9,3,9,9,3,2,2,2,2,3,3, , ,3,2,1,1,1,1,1,1,3,3,4, , , ,4, ,1,1965,0,0,0,0,1,0, ,5,19,80,1,1,3,19,0,0,1
0188,0,1,0,0,0,0,3,2,4,2,1,1,4,5,5,4,4,4,4,4,4,2,2,4,2,1,3,4, ,9,3,0,4,4,4,4,1,1,1,1, , , , , , ,0,1948,0,0,0,0,0,1, ,4,40,130,0,0, ,0, , , 
0189,0,0,0,0,1,1,3,2,1,4,3,4,5,5,4,3,3,9,9,9,9,4,4,3,3,4,3,3, , ,3,1,2,2,2,2,2,2,3,3, , , , , , ,0,1952,0,0,0,0,0,1, ,3,40,100,1,0,3, ,0,0,1
0190,0,0,0,0,0,1,4,1,4,4,1,1,4,5,3,2,2,3,3,2,1,2,4,4,4,3,3,2, ,9,0,0,2,2,2,2,4,4,3,2,4,4,4,4,2,2,1,1949,0,0,0,0,0,1, ,3,51,38,0,1,2,49,0,1,0
0191,0,0,0,1,0,0,1,1,1,1,1,1,4,5,3,9,9,9,9,9,9,9,9,9,9,9,9,9, , ,3,0,1,1,1,1,1,3,2,4, , , , , , ,0,1949,0,0,0,0,0,1, ,5,48,1,0,0,1,0,1,0,0
0192,1,0,0,0,0,0,5, , , , , ,3,4,3,2,2,3,4,2,1,1,3,4,3,2,3,2, ,9,3,0,1,1,1,1,2,4,2,2, , , , , , ,0,1957,0,0,0,0,0,1, ,3,25,3,0,0,1,0,1,0,0
0193,0,1,0,0,0,0,4,3,2,5,1,1,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3, , ,3,3,1,2,1,4,3,3,3,3, , , , , , ,1,1986,0,0,0,0,0,1, ,3,2,5,1,0,2,0,0,1,0
0194,0,0,0,0,1,0,4,2,1,4,2,2,4,4,4,2,4,4,2,2,3,3,2,3,4,3,2,4, , ,2,0,4,4,4,4, ,4, , , , , , , , ,0,1960,0,0,0,0,0,1, ,3,11,2.5,0,0,1,52,1,0,0
0195,0,0,0,1,1,1,4,2,4,5,5,4,4,5,4,3,3,4,3,3,4,3,4,4,3,4,4,4, , ,0,1,1,2,1,2,3,2,4,4, , , , , , , , , , , , , , , , , , ,0,0,1, ,1,0,0
0196,0,1,0,0,0,0,3,3,3,3,3,3,4,4,4,2,2,2,2,2,2,1,1,1,1,1,2,1, , ,3,3,2,2,1,4,1,1,1,1,4,4,4,2,4,4,0,1970,0,0,0,0,0,1, ,4,25,269,1,1,3,25,0,0,1
0197,0,0,0,0,0,0,3, , , , , ,4,3,3,3,3,3,3,3,3,3,2,1,1,2,3,3, , , ,3,2,2,2,2,3,3,3,3, , , , , , ,1,1957,0,0,0,0,0,1, ,2,64,5,1,0,2,0,0,1,0
0198,1,9,9,1,1,1,3,2, ,4,3,3,5,5,3,3,3,3,3,9,3,2,2,2,2,3,3,3, ,9, , , , , , , , , , , , , , , , ,1,1942, , , , , , , ,2,35,1,0,0,1, ,1,0,0
0199,0,0,0,0,0,1,2,1,3,4,3,3,5,4,4,1,1,9,1,9,1,2,1,2,1,1,1,1,1964, ,3,1,4,4,4,4,1,1,1,1,4,4,4, ,4,4,9,1942,0,0,0,0,0,1, ,3,58,110,0,1,3,60,0,0,1
0200,0,0,0,0,0,1,4,4,2, ,3,2,5,4,5,9,3,3,3,9,9,4,2,9,2,9,2,9, , , , ,1,1,1,1,2,1,4,4, , , , , , ,1,1989,0,0,0,0,0,1, ,5,3.5,20,1,0,2, ,0,1,0
0201,0,0,1,0,0,0,3,3,2,5,3,3,5,4,5,3,3,2,2,9,9,3,4,4,3,4,3,2, , ,3,3,2,2,2,2,2,2,2,2,4,1,3,4,3,4,1,1982,0,0,0,0,0,1, ,5,0.5,50,0,1,2,0,0,1,0
0202,1,1,0,0,0,0,4,4,4,4,3,2,4,3,4,3,3,3,1,3,2,3,1,1,4,4,2,1, , ,3,1,1,1,1,4, , ,4,4, , , , , , ,1,1964,0,0,0,0,0,1, ,6,20,40,0,0,1,0,1,0,0
0203,0,0,1,0,0,0, , , , , , ,5,4,4,9,9,9,9,9,9,3,4,4,3,3,3,3, , , , ,1,1,1,1,1,1,4,4, , , , , , ,0,1979,0,0,0,0,0,1, ,6,1,3,0,0,1,0,1,0,0
0204,0,1,0,0,0,0,3, ,1,4, , ,5,5,5,2,3,9,3,9,9,9,2,3,2,2,1,9, ,9,1,0,1,4,1,3,1,3,4,4, , , , , , ,1,1954,0,0,0,0,0,1, ,4,39,40,0,0,1, ,1,0,0
0205,1,1,1,9,1,1,5,2,4,5,5, ,5,5,4,1,1,1,1,1,1,9,9,9,9,9,9,9, , ,3,0,1,1,1,1, , , ,1, , , , , , ,0,1941,0,0,0,0,0,1, ,6,44,80,0,0, , , , , 
0206,0,0,1,0,0,0, , , , , , ,5,4,3,9,3,3,3,9,9,3,9,3,3,9,3,3, , ,3,0,1,2,1,2,3,3,3,3, , , , , , ,1,1979,0,0,0,0,0,1, ,6,7,8,0,0,1,0,1,0,0
